vote_count,budget,popularity,crew_count,cast_count,runtime,keywords_count,vote_average,genres_count,release_year,production_companies_count,spoken_languages_count,revenue
1880,150000000,51.247321,23,32,91.0,6,6.7,2,2011.0,1,1,665692281
1151,150000000,33.769336,3,21,103.0,16,4.7,4,2010.0,5,1,318502923
2028,150000000,63.079003,26,13,126.0,37,6.5,3,2006.0,7,6,397850012
1891,150000000,39.004588,22,21,131.0,4,6.4,3,2013.0,4,1,205366737
199,150000000,12.362599,7,12,88.0,8,5.5,3,2011.0,1,1,38992758
874,149000000,22.550135,34,15,85.0,7,6.0,4,2006.0,2,1,64459316
954,150000000,48.03528,22,19,111.0,7,5.9,3,2015.0,4,1,128388320
843,145000000,38.73494,11,51,92.0,23,6.7,3,2014.0,4,1,272912430
2759,175000000,66.803149,124,20,163.0,21,6.9,3,2004.0,6,1,497409852
1808,145000000,44.989192,15,12,93.0,2,6.4,2,2012.0,1,3,746921274
1092,140000000,54.159392,7,21,133.0,4,5.8,3,2002.0,1,7,431971116
2142,144000000,66.21806,100,75,116.0,4,5.3,3,2016.0,7,1,229147509
2482,140000000,58.485967,108,67,151.0,17,6.4,4,1998.0,3,2,553799566
3114,140000000,91.332849,147,23,88.0,13,6.0,4,2002.0,4,1,441818803
841,70000000,35.601665,60,30,115.0,16,5.5,3,2007.0,4,1,195735876
1603,145000000,56.747978,34,34,95.0,12,6.7,5,2016.0,4,1,521170825
3972,145000000,77.77477,28,16,133.0,7,6.8,3,2011.0,6,5,694713380
1922,145000000,61.788035,10,16,97.0,8,7.1,3,2012.0,1,2,306941670
627,100000000,25.159168,38,15,90.0,14,5.9,1,2005.0,3,1,202026112
1895,140000000,52.341226,21,47,154.0,31,7.3,4,2003.0,4,2,456758981
1921,140000000,101.599427,155,24,150.0,5,5.6,3,2014.0,4,1,268031828
4518,150000000,73.616808,24,168,127.0,17,7.4,3,2009.0,4,1,385680446
5265,139000000,82.502566,126,71,121.0,11,6.8,2,2002.0,2,1,821708551
3106,145000000,100.21391,29,17,102.0,11,7.6,6,2014.0,2,1,609123048
1277,140000000,56.257249,71,41,127.0,13,5.3,1,2016.0,5,1,150680864
331,135000000,17.88953,24,23,121.0,3,4.9,1,2005.0,5,5,76932943
2811,130000000,64.798873,24,35,163.0,15,7.0,3,2009.0,6,1,185258983
767,140000000,24.855701,101,21,127.0,3,6.3,5,1998.0,3,3,285444603
1533,137000000,34.981698,145,16,138.0,29,5.3,3,2003.0,4,2,245360480
3025,130000000,59.325589,28,20,110.0,13,5.4,4,2013.0,6,1,371876278
